number,value,datetime_start,datetime_complete,duration,params_linear_alpha,params_linear_solver,state
151,0.5731687242798353,2022-09-18 10:50:12.785894,2022-09-18 11:46:40.714790,0 days 00:56:27.928896,17687.1872992487,sag,COMPLETE
152,0.5694320987654321,2022-09-18 10:51:55.842267,2022-09-18 11:47:25.364134,0 days 00:55:29.521867,15324.163802424655,sag,COMPLETE
153,0.5762139917695474,2022-09-18 10:52:23.942476,2022-09-18 11:44:50.001367,0 days 00:52:26.058891,2412.5815761849663,sag,COMPLETE
154,0.5729382716049383,2022-09-18 11:35:50.175147,2022-09-18 12:27:34.003106,0 days 00:51:43.827959,2857.7913286893972,sag,COMPLETE
155,0.5730864197530865,2022-09-18 11:36:38.209198,2022-09-18 12:28:26.331823,0 days 00:51:48.122625,2805.2798913169795,sag,COMPLETE
156,0.5766255144032921,2022-09-18 11:38:50.327927,2022-09-18 12:30:38.083139,0 days 00:51:47.755212,2257.053136121143,sag,COMPLETE
157,0.5771028806584363,2022-09-18 11:39:15.499243,2022-09-18 12:31:22.997433,0 days 00:52:07.498190,2298.499708530686,sag,COMPLETE
158,0.5641810699588478,2022-09-18 11:39:42.253155,2022-09-18 12:33:23.798410,0 days 00:53:41.545255,10534.773608466472,sag,COMPLETE
159,0.5661893004115226,2022-09-18 11:44:50.075137,2022-09-18 12:39:59.926930,0 days 00:55:09.851793,12811.398811742205,sag,COMPLETE
160,0.5639012345679013,2022-09-18 11:46:40.789602,2022-09-18 12:43:31.127645,0 days 00:56:50.338043,10715.2579158908,sag,COMPLETE
161,0.5650534979423869,2022-09-18 11:47:25.467696,2022-09-18 11:48:03.446982,0 days 00:00:37.979286,12004.495104918995,auto,COMPLETE
162,0.5631934156378601,2022-09-18 11:48:03.646574,2022-09-18 12:44:07.450410,0 days 00:56:03.803836,8915.507060229966,sag,COMPLETE
163,0.562880658436214,2022-09-18 12:27:34.107037,2022-09-18 13:13:31.256704,0 days 00:45:57.149667,8372.09941654865,sag,COMPLETE
164,0.5635720164609053,2022-09-18 12:28:26.435185,2022-09-18 13:15:13.183277,0 days 00:46:46.748092,9916.452859558305,sag,COMPLETE
165,0.5632427983539094,2022-09-18 12:30:38.157780,2022-09-18 13:11:47.750707,0 days 00:41:09.592927,7373.29502064694,sag,COMPLETE
166,0.5629958847736625,2022-09-18 12:31:23.071962,2022-09-18 12:32:00.809284,0 days 00:00:37.737322,8620.037846113419,svd,COMPLETE
167,0.5631275720164609,2022-09-18 12:32:00.883616,2022-09-18 12:32:37.735691,0 days 00:00:36.852075,9047.33220873663,svd,COMPLETE
168,0.563045267489712,2022-09-18 12:32:37.809120,2022-09-18 12:33:14.434444,0 days 00:00:36.625324,9094.364353349134,svd,COMPLETE
169,0.5628312757201646,2022-09-18 12:33:14.507987,2022-09-18 12:33:53.152815,0 days 00:00:38.644828,8752.221369239676,svd,COMPLETE
